Run,1)A_NOX_TT,2)A_SO2_TT,3)A_NH3_TT,4)A_VOC_TT,5)A_POA_TT,6)B_NOX_TT,7)B_SO2_TT,8)B_NH3_TT,9)B_VOC_TT,10)B_POA_TT,11)C_NOX_TT,12)C_SO2_TT,13)C_NH3_TT,14)C_VOC_TT,15)C_POA_TT,16)D_NOX_TT,17)D_SO2_TT,18)D_NH3_TT,19)D_VOC_TT,20)D_POA_TT,21)E_NOX_TT,22)E_SO2_TT,23)E_NH3_TT,24)E_VOC_TT,25)E_POA_TT,26)A_PM25_TT,27)B_PM25_TT,28)C_PM25_TT,29)D_PM25_TT,30)E_PM25_TT
403,0.05,1.5,0.222222222,1.2,0.857142857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
404,0.083333333,1.25,1.555555556,0.08,1.428571429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
405,0.116666667,1.75,1.111111111,0.88,0.040816327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
406,0.15,1.125,0.074074074,1.68,0.612244898,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
407,0.183333333,1.625,1.407407407,0.56,1.183673469,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
408,1,1,1,1,1,0.05,1.5,0.222222222,1.2,0.857142857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
409,1,1,1,1,1,0.083333333,1.25,1.555555556,0.08,1.428571429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
410,1,1,1,1,1,0.116666667,1.75,1.111111111,0.88,0.040816327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
411,1,1,1,1,1,0.15,1.125,0.074074074,1.68,0.612244898,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
412,1,1,1,1,1,0.183333333,1.625,1.407407407,0.56,1.183673469,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
