Region,Pollutant,Source,Limit,Min,Max
A,NOX,TT,0.2,0,2
A,SO2,TT,0.2,0,2
A,NH3,TT,0.2,0,2
A,VOC,TT,0.2,0,2
A,POA,TT,0.2,0,2
B,NOX,TT,0.2,0,2
B,SO2,TT,0.2,0,2
B,NH3,TT,0.2,0,2
B,VOC,TT,0.2,0,2
B,POA,TT,0.2,0,2
C,NOX,TT,0.2,0,2
C,SO2,TT,0.2,0,2
C,NH3,TT,0.2,0,2
C,VOC,TT,0.2,0,2
C,POA,TT,0.2,0,2
D,NOX,TT,0.2,0,2
D,SO2,TT,0.2,0,2
D,NH3,TT,0.2,0,2
D,VOC,TT,0.2,0,2
D,POA,TT,0.2,0,2
E,NOX,TT,0.2,0,2
E,SO2,TT,0.2,0,2
E,NH3,TT,0.2,0,2
E,VOC,TT,0.2,0,2
E,POA,TT,0.2,0,2
A,PM25,TT,0.2,0,2
B,PM25,TT,0.2,0,2
C,PM25,TT,0.2,0,2
D,PM25,TT,0.2,0,2
E,PM25,TT,0.2,0,2
